from_stop_id,to_stop_id,transfer_type,min_transfer_time
1166841,4473190,2,210
1166835,7921060,2,157
7946144,1166835,2,194
1166832,2211,2,180
7898938,1166831,2,196
1166832,2210,2,240
7946144,1166834,2,194
7921220,1166834,2,314
7921220,1166835,2,314
1166841,1715,2,140
7991806,1166838,2,226
1166835,7921061,2,308
7991806,1166839,2,226
1723,1166841,2,180
1723,1166840,2,180
6129304,7921094,2,241
1166832,3926339,2,216
7013383,1166825,2,205
1166831,7965042,2,216
1166834,7161643,2,213
1166840,7176250,2,195
4843804,1166827,2,217
1166834,7161644,2,213
1166833,4035992,2,272
1166833,4035990,2,265
4843804,1166826,2,217
1166833,4035991,2,259
7013383,1166824,2,205
1166840,5018191,2,195
1166840,5018190,2,254
5231612,1166833,2,197
5231612,1166832,2,197
1166840,5018192,2,234
6129304,5138171,2,244
6129304,5138170,2,252
7376290,1166840,2,254
7376290,1166841,2,254
6251745,1166835,2,235
6251745,1166834,2,235
1166827,7932083,2,202
1166827,7932082,2,217
7921117,1166835,2,207
1166832,7898840,2,205
7921117,1166834,2,207
3343766,1166838,2,180
1166840,4045022,2,225
3343766,1166839,2,180
1166831,7965043,2,196
1166832,7898842,2,190
1166840,2460,2,140
1166833,4035989,2,207
1166832,7898843,2,207
1166832,4459260,2,265
1166834,7921060,2,157
1166834,7921061,2,308
7653691,1166839,2,193
7653691,1166838,2,193
1166840,2469,2,180
1166833,4035988,2,207
8033005,1166834,2,314
8033005,1166835,2,314
5675642,1166833,2,265
5675642,1166832,2,265
1166832,4036640,2,266
2221,1166834,2,360
2221,1166835,2,360
2467,1166841,2,180
2467,1166840,2,180
1166832,7898839,2,205
7376289,1166841,2,193
7376289,1166840,2,193
6129304,7921064,2,199
6591541,1166834,2,204
7946193,1166834,2,187
7946193,1166835,2,187
6591541,1166835,2,204
1166835,7899616,2,245
1166835,7899983,2,202
1166835,7899985,2,157
1166835,7899984,2,202
1166834,1967,2,480
1166835,7899986,2,314
6217417,1166840,2,252
8007555,1166833,2,216
6217417,1166841,2,252
1166834,1965,2,420
8007555,1166832,2,216
1166835,2220,2,420
1166835,2222,2,480
1166835,4459253,2,221
1166824,7932087,2,243
1166824,7932088,2,250
1166824,7932089,2,268
1166835,4459252,2,246
1166841,7991701,2,234
4471843,1166832,2,190
4471843,1166833,2,190
1166835,6591456,2,200
1166835,6591457,2,204
1166824,7932086,2,205
1166827,7898981,2,252
5158083,1166841,2,235
7898945,1166826,2,285
1166833,2211,2,180
7898945,1166827,2,285
5158083,1166840,2,235
1166833,7931560,2,240
1166834,7945885,2,213
1166840,7900217,2,186
1166840,7900216,2,186
1166832,7920978,2,266
8007492,1166832,2,189
8007492,1166833,2,189
1166834,7900042,2,243
1166832,7920979,2,259
1166832,7931560,2,240
1166830,4035984,2,196
1166830,4035985,2,216
4037262,1166833,2,266
1166830,2211,2,180
4037262,1166832,2,266
1166833,4459260,2,265
2435,6129305,2,180
1166841,4045022,2,225
2435,6129304,2,180
7153047,1166832,2,189
6129304,3893345,2,241
7153047,1166833,2,189
6129304,3893346,2,199
1166832,4044996,2,259
1166834,2036,2,180
1166834,2155,2,180
1757,6129305,2,180
7931906,1166824,2,268
1757,6129304,2,180
7931906,1166825,2,268
1166834,7922511,2,152
1166834,7922512,2,346
1166827,7898957,2,252
1166834,7922510,2,152
1166831,1956,2,180
1166841,4036749,2,234
7991811,1166839,2,186
1166834,7932206,2,245
7991811,1166838,2,186
1166833,2210,2,240
6961993,1166840,2,226
7946313,1166840,2,200
1166839,4008206,2,226
1166835,7945885,2,213
7931479,1166833,2,189
6129305,7921064,2,199
7931479,1166832,2,189
7946313,1166841,2,200
1166834,7945917,2,200
6217415,1166841,2,210
1166841,5018190,2,254
1166841,4036747,2,210
1166834,7945916,2,245
6217415,1166840,2,210
1166841,4036748,2,227
1166841,5018192,2,234
6961993,1166841,2,226
1166841,5018191,2,195
1166840,7899182,2,108
4843406,1166826,2,202
4843406,1166827,2,202
6129305,3893346,2,199
4843405,1166827,2,217
7013377,1166826,2,279
7013377,1166827,2,279
4843405,1166826,2,217
4472773,1166840,2,225
7986310,1166835,2,282
4472773,1166841,2,225
6129305,7921094,2,241
6129305,3893345,2,241
1166833,1956,2,180
7921181,1166835,2,246
1166833,1955,2,420
7921181,1166834,2,246
7899743,1166834,2,243
1166832,7965055,2,189
7899743,1166835,2,243
7986310,1166834,2,282
6251746,1166835,2,235
6251746,1166834,2,235
2336,1166839,2,180
2336,1166838,2,180
1166833,7964978,2,259
1166833,7964979,2,190
7932232,1166838,2,193
7932232,1166839,2,193
8007493,1166832,2,220
8007493,1166833,2,220
1166841,7913217,2,214
1166841,7913218,2,205
1166841,7913219,2,200
1166841,7899122,2,205
1166841,7899121,2,204
7013384,1166824,2,243
7013384,1166825,2,243
7932239,1166840,2,225
7932239,1166841,2,225
8007409,1166840,2,225
1166827,4798880,2,252
3812921,1166835,2,346
8007409,1166841,2,225
1166835,2036,2,180
1166840,3749688,2,108
1166840,3749689,2,215
1166833,7931530,2,259
7899750,1166832,2,191
2219,1166834,2,180
1166840,3749691,2,252
1166832,7965038,2,190
7899750,1166833,2,191
1166840,3749690,2,225
1166840,4036661,2,227
1166832,7965037,2,240
7275151,1166835,2,189
7275151,1166834,2,189
1166840,4036660,2,254
1166835,7161644,2,213
1166832,7965039,2,207
2219,1166835,2,180
1166835,7161643,2,213
1166832,7965036,2,259
3812921,1166834,2,346
7898939,1166831,2,216
7153048,1166833,2,207
7898939,1166830,2,216
7153048,1166832,2,207
3812918,1166835,2,230
3812918,1166834,2,230
1166826,4798880,2,252
7275549,1166841,2,241
7275549,1166840,2,241
5158081,1166841,2,226
5158081,1166840,2,226
1166833,7964942,2,189
1166833,7964943,2,240
7275150,1166834,2,209
7275150,1166835,2,209
7986272,1166835,2,246
1166834,4036822,2,314
7986272,1166834,2,246
1166835,7945917,2,200
1166826,7898957,2,252
1166835,7945916,2,245
7899749,1166833,2,216
7899749,1166832,2,216
7898946,1166826,2,285
1166841,4035039,2,210
7898946,1166827,2,285
1166841,4036660,2,254
1166832,7900243,2,265
1166841,4035038,2,210
1166841,4036661,2,227
1166831,7964940,2,196
1166834,7921099,2,243
1166835,4037196,2,221
7275317,1166835,2,308
1166835,4037197,2,202
7275317,1166834,2,308
1166841,7899182,2,108
1166835,4037198,2,246
1166835,4037199,2,308
1166835,2155,2,180
1166840,4035039,2,210
7931746,1166841,2,275
7931746,1166840,2,275
1166840,4035038,2,210
7899751,1166840,2,247
7899751,1166841,2,247
1166834,4036985,2,200
1964,1166835,2,180
1166834,4036986,2,189
1964,1166834,2,180
1166834,4037198,2,246
1166834,4037197,2,202
1166834,4037196,2,221
1166840,1724,2,180
1166834,4037199,2,308
1166840,4459239,2,234
1166841,2460,2,140
5231613,1166832,2,265
1166826,7932083,2,202
5231613,1166833,2,265
1166826,7932082,2,217
8007556,1166833,2,207
8007556,1166832,2,207
1166840,4459240,2,210
1166826,7898981,2,252
7013385,1166825,2,250
1166840,1715,2,140
7275315,1166835,2,202
7013385,1166824,2,250
7275315,1166834,2,202
7932237,1166841,2,234
7932237,1166840,2,234
1166840,7176249,2,254
1166840,7913218,2,205
1166840,7913217,2,214
1166840,7913219,2,200
1166832,4037183,2,266
1166832,4037184,2,265
7946340,1166840,2,242
7946340,1166841,2,242
1166830,7965043,2,196
1166830,7965042,2,216
1166841,2469,2,180
