service_id,date,exception_type
12946540,20190713,1
12946540,20190720,1
12946540,20190727,1
12946540,20190831,1
2773630,20190705,1
12773619,20190610,1
12773619,20190715,1
12773618,20190930,1
12773618,20191007,1
12773618,20191014,1
12773618,20191021,1
12773618,20191028,1
12773618,20191104,1
12773618,20191112,1
12773618,20191118,1
12773618,20191125,1
12773618,20191202,1
12773617,20190611,1
12773617,20190617,1
12773617,20190624,1
12773617,20190701,1
12773617,20190708,1
12773617,20190722,1
12773617,20190729,1
12773617,20190805,1
12773617,20190812,1
12773617,20190816,1
12773617,20190819,1
12773617,20190826,1
12773617,20190902,1
12773617,20190909,1
12773617,20190916,1
12773617,20190923,1
2773628,20190802,1
2773628,20190809,1
2773628,20190814,1
2773628,20190816,1
2773628,20190823,1
2773629,20190607,1
2773629,20190614,1
2773629,20190621,1
2773629,20190628,1
2773629,20190906,1
2773629,20190913,1
2773629,20190920,1
2773629,20190927,1
2773629,20191025,1
2773629,20191031,1
2946540,20190712,1
2946540,20190719,1
2946540,20190726,1
2946540,20190830,1
2773622,20190801,1
2773622,20190805,1
2773622,20190806,1
2773622,20190807,1
2773622,20190808,1
2773622,20190812,1
2773622,20190813,1
2773622,20190819,1
2773622,20190820,1
2773622,20190821,1
2773622,20190822,1
2773623,20190930,1
2773623,20191001,1
2773623,20191002,1
2773623,20191003,1
2773623,20191007,1
2773623,20191008,1
2773623,20191009,1
2773623,20191010,1
2773623,20191014,1
2773623,20191015,1
2773623,20191016,1
2773623,20191017,1
2773623,20191104,1
2773623,20191105,1
2773623,20191106,1
2773623,20191107,1
2773623,20191112,1
2773623,20191113,1
2773623,20191114,1
2773623,20191118,1
2773623,20191119,1
2773623,20191120,1
2773623,20191121,1
2773623,20191125,1
2773623,20191126,1
2773623,20191127,1
2773623,20191128,1
2773623,20191202,1
2773623,20191203,1
2773620,20191101,1
2773620,20191110,1
2773621,20190701,1
2773621,20190702,1
2773621,20190703,1
2773621,20190704,1
2773621,20190708,1
2773621,20190709,1
2773621,20190710,1
2773621,20190711,1
2773621,20190715,1
2773621,20190716,1
2773621,20190717,1
2773621,20190718,1
2773621,20190722,1
2773621,20190723,1
2773621,20190724,1
2773621,20190725,1
2773621,20190729,1
