service_id,date,exception_type
2773593,20191101,1
2773593,20191110,1
2773595,20190610,1
2773595,20190616,1
2773595,20190623,1
2773595,20190630,1
2773595,20190707,1
2773595,20190721,1
2773595,20190728,1
2773595,20190804,1
2773595,20190811,1
2773595,20190815,1
2773595,20190818,1
2773595,20190825,1
2773595,20190901,1
2773595,20190908,1
2773595,20190915,1
2773595,20190922,1
2773594,20190929,1
2773594,20191006,1
2773594,20191013,1
2773594,20191020,1
2773594,20191027,1
2773594,20191103,1
2773594,20191111,1
2773594,20191117,1
2773594,20191124,1
2773594,20191201,1
2773597,20190605,1
2773597,20190606,1
2773597,20190611,1
2773597,20190612,1
2773597,20190613,1
2773597,20190617,1
2773597,20190618,1
2773597,20190619,1
2773597,20190620,1
2773597,20190624,1
2773597,20190625,1
2773597,20190626,1
2773597,20190627,1
2773597,20190902,1
2773597,20190903,1
2773597,20190904,1
2773597,20190905,1
2773597,20190909,1
2773597,20190910,1
2773597,20190911,1
2773597,20190912,1
2773597,20190916,1
2773597,20190917,1
2773597,20190918,1
2773597,20190919,1
2773597,20190923,1
2773597,20190924,1
2773597,20190925,1
2773597,20190926,1
2773597,20191021,1
2773597,20191022,1
2773597,20191023,1
2773597,20191024,1
2773597,20191028,1
2773597,20191029,1
2773597,20191030,1
2773596,20190801,1
2773596,20190805,1
2773596,20190806,1
2773596,20190807,1
2773596,20190808,1
2773596,20190812,1
2773596,20190813,1
2773596,20190819,1
2773596,20190820,1
2773596,20190821,1
2773596,20190822,1
2773596,20190826,1
2773596,20190827,1
2773596,20190828,1
2773596,20190829,1
2773604,20190607,1
2773604,20190614,1
2773604,20190621,1
2773604,20190628,1
2773604,20190906,1
2773604,20190913,1
2773604,20190920,1
2773604,20190927,1
2773604,20191025,1
2773604,20191031,1
2773605,20191004,1
2773605,20191011,1
2773605,20191018,1
2773605,20191108,1
2773605,20191115,1
2773605,20191122,1
2773605,20191129,1
2773602,20190705,1
2773602,20190712,1
2773602,20190719,1
2773602,20190726,1
2773603,20190802,1
2773603,20190809,1
2773603,20190814,1
2773603,20190816,1
2773603,20190823,1
2773603,20190830,1
2773600,20190608,1
2773600,20190609,1
2773600,20190615,1
2773600,20190622,1
2773600,20190629,1
2773600,20190706,1
2773600,20190713,1
2773600,20190714,1
2773600,20190720,1
2773600,20190727,1
2773600,20190803,1
2773600,20190810,1
2773600,20190817,1
2773600,20190824,1
2773600,20190831,1
2773600,20190907,1
2773600,20190914,1
2773600,20190921,1
2773601,20190928,1
2773601,20191005,1
2773601,20191012,1
2773601,20191019,1
2773601,20191026,1
2773601,20191102,1
2773601,20191109,1
2773601,20191116,1
2773601,20191123,1
